885121,Private room,885121,44,885121
889901,Entire home/apt,889901,57,889901
895792,Entire home/apt,895792,250,895792
897555,Private room,897555,27,897555
899970,Private room,899970,49,899970
913379,Entire home/apt,913379,299,913379
913865,Entire home/apt,913865,60,913865
914733,Entire home/apt,914733,30,914733
914944,Private room,914944,29,914944
915905,Entire home/apt,915905,160,915905
916096,Entire home/apt,916096,210,916096
916850,Entire home/apt,916850,255,916850
919131,Entire home/apt,919131,399,919131
919931,Entire home/apt,919931,92,919931
920560,Private room,920560,150,920560
921237,Private room,921237,35,921237
927119,Entire home/apt,927119,129,927119
929541,Private room,929541,35,929541
931270,Entire home/apt,931270,115,931270
933737,Entire home/apt,933737,95,933737
934060,Private room,934060,440,934060
940146,Entire home/apt,940146,90,940146
940369,Entire home/apt,940369,171,940369
941005,Entire home/apt,941005,80,941005
941407,Entire home/apt,941407,145,941407
951483,Entire home/apt,951483,115,951483
952957,Entire home/apt,952957,70,952957
954077,Entire home/apt,954077,135,954077
956104,Private room,956104,58,956104
957217,Entire home/apt,957217,220,957217
967061,Entire home/apt,967061,50,967061
967622,Private room,967622,46,967622
969862,Private room,969862,95,969862
970871,Private room,970871,35,970871
975599,Entire home/apt,975599,69,975599
978836,Entire home/apt,978836,153,978836
978852,Private room,978852,76,978852
978945,Private room,978945,45,978945
979236,Private room,979236,64,979236
981083,Private room,981083,120,981083
983446,Entire home/apt,983446,55,983446
984134,Entire home/apt,984134,118,984134
984732,Entire home/apt,984732,110,984732
985009,Private room,985009,35,985009
993985,Private room,993985,55,993985
995087,Hotel room,995087,79,995087
998754,Entire home/apt,998754,400,998754
998822,Entire home/apt,998822,295,998822
999465,Entire home/apt,999465,150,999465
1000233,Private room,1000233,75,1000233
1006621,Entire home/apt,1006621,250,1006621
1008223,Private room,1008223,59,1008223
1008225,Entire home/apt,1008225,145,1008225
1009209,Private room,1009209,36,1009209
1012851,Private room,1012851,30,1012851
1014716,Entire home/apt,1014716,125,1014716
1015468,Private room,1015468,75,1015468
1016999,Private room,1016999,59,1016999
1018703,Private room,1018703,120,1018703
1020573,Entire home/apt,1020573,140,1020573
1021761,Entire home/apt,1021761,109,1021761
2818,Private room,2818,59,2818
7071,Private room,7071,33,7071
14325,Entire home/apt,14325,70,14325
22415,Entire home/apt,22415,98,22415
24569,Entire home/apt,24569,90,24569
26543,Entire home/apt,26543,209,26543
27886,Private room,27886,155,27886
28156,Entire home/apt,28156,70,28156
31080,Entire home/apt,31080,219,31080
33043,Entire home/apt,33043,62,33043
41217,Private room,41217,43,41217
41306,Private room,41306,40,41306
43980,Entire home/apt,43980,100,43980
44391,Entire home/apt,44391,240,44391
44423,Private room,44423,56,44423
46172,Entire home/apt,46172,48,46172
46386,Entire home/apt,46386,150,46386
48076,Entire home/apt,48076,350,48076
50523,Private room,50523,115,50523
53692,Private room,53692,60,53692
55621,Entire home/apt,55621,222,55621
55703,Entire home/apt,55703,250,55703
55807,Private room,55807,60,55807
56357,Private room,56357,33,56357
57209,Entire home/apt,57209,80,57209
58211,Private room,58211,220,58211
59249,Entire home/apt,59249,98,59249
59697,Entire home/apt,59697,70,59697
63468,Entire home/apt,63468,52,63468
64245,Private room,64245,55,64245
64736,Entire home/apt,64736,189,64736
68448,Entire home/apt,68448,84,68448
68873,Hotel room,68873,109,68873
70820,Private room,70820,28,70820
72319,Private room,72319,36,72319
72628,Entire home/apt,72628,132,72628
74614,Entire home/apt,74614,185,74614
75382,Private room,75382,105,75382
85560,Entire home/apt,85560,79,85560
91535,Entire home/apt,91535,189,91535
97476,Entire home/apt,97476,135,97476
103644,Entire home/apt,103644,43,103644
107195,Entire home/apt,107195,150,107195
107972,Entire home/apt,107972,100,107972
115576,Entire home/apt,115576,75,115576
116832,Entire home/apt,116832,70,116832
118302,Entire home/apt,118302,170,118302
139769,Private room,139769,42,139769
145249,Private room,145249,70,145249
147339,Entire home/apt,147339,50,147339
148132,Private room,148132,52,148132
162111,Private room,162111,39,162111
168615,Entire home/apt,168615,49,168615
169356,Entire home/apt,169356,165,169356
171746,Entire home/apt,171746,70,171746
171755,Entire home/apt,171755,63,171755
174547,Entire home/apt,174547,96,174547
174579,Entire home/apt,174579,76,174579
175667,Entire home/apt,175667,46,175667
176342,Entire home/apt,176342,306,176342
179102,Entire home/apt,179102,170,179102
180440,Entire home/apt,180440,39,180440
181810,Entire home/apt,181810,39,181810
183996,Entire home/apt,183996,375,183996
184282,Entire home/apt,184282,230,184282
185534,Private room,185534,75,185534
186908,Entire home/apt,186908,45,186908
186999,Entire home/apt,186999,320,186999
187206,Private room,187206,25,187206
189596,Entire home/apt,189596,80,189596
190448,Entire home/apt,190448,52,190448
190943,Entire home/apt,190943,150,190943
193038,Private room,193038,95,193038
193601,Entire home/apt,193601,75,193601
194124,Entire home/apt,194124,89,194124
194694,Private room,194694,38,194694
197291,Entire home/apt,197291,170,197291
203634,Entire home/apt,203634,155,203634
214491,Private room,214491,35,214491
214784,Private room,214784,35,214784
217692,Entire home/apt,217692,150,217692
219276,Private room,219276,265,219276
219878,Entire home/apt,219878,85,219878
221943,Entire home/apt,221943,170,221943
223622,Entire home/apt,223622,45,223622
226121,Private room,226121,130,226121
226925,Entire home/apt,226925,125,226925
229363,Entire home/apt,229363,79,229363
230710,Entire home/apt,230710,125,230710
238396,Entire home/apt,238396,60,238396
239139,Private room,239139,55,239139
242794,Entire home/apt,242794,100,242794
242908,Entire home/apt,242908,95,242908
242978,Entire home/apt,242978,63,242978
245809,Entire home/apt,245809,76,245809
245827,Entire home/apt,245827,90,245827
245927,Private room,245927,400,245927
245991,Entire home/apt,245991,25,245991
246747,Private room,246747,68,246747
248192,Entire home/apt,248192,53,248192
249419,Entire home/apt,249419,95,249419
250121,Private room,250121,55,250121
250171,Private room,250171,60,250171
250253,Entire home/apt,250253,97,250253
250707,Entire home/apt,250707,58,250707
250871,Entire home/apt,250871,58,250871
251398,Private room,251398,40,251398
254576,Entire home/apt,254576,70,254576
255778,Entire home/apt,255778,96,255778
255912,Entire home/apt,255912,50,255912
257373,Entire home/apt,257373,109,257373
257766,Entire home/apt,257766,168,257766
264459,Entire home/apt,264459,60,264459
265354,Hotel room,265354,85,265354
266181,Entire home/apt,266181,48,266181
267951,Entire home/apt,267951,74,267951
270477,Entire home/apt,270477,89,270477
273076,Entire home/apt,273076,61,273076
274623,Entire home/apt,274623,65,274623
274798,Private room,274798,55,274798
276275,Entire home/apt,276275,169,276275
277011,Entire home/apt,277011,125,277011
278415,Entire home/apt,278415,75,278415
279344,Private room,279344,76,279344
282734,Entire home/apt,282734,38,282734
282786,Entire home/apt,282786,53,282786
283170,Entire home/apt,283170,650,283170
292864,Private room,292864,50,292864
293514,Entire home/apt,293514,74,293514
294468,Entire home/apt,294468,175,294468
297594,Entire home/apt,297594,30,297594
301220,Entire home/apt,301220,125,301220
306041,Private room,306041,60,306041
306502,Entire home/apt,306502,70,306502
306852,Entire home/apt,306852,195,306852
307470,Entire home/apt,307470,130,307470
309942,Private room,309942,40,309942
312566,Entire home/apt,312566,70,312566
315533,Entire home/apt,315533,54,315533
316462,Entire home/apt,316462,84,316462
